transaction_id,meal_type,sales_amount,cost_of_goods_sold,customer_age,customer_gender,customer_income_bracket,profit,profit_margin_pct
1,Hot Pot,27.88,29.05,58,Non-Binary,High,-1.1700000000000017,-4.2
2,Kung Pao Chicken,20.85,25.7,63,Male,Middle,-4.849999999999998,-23.26
3,Dim Sum,20.27,16.08,50,Non-Binary,Low,4.190000000000001,20.67
4,Spring Rolls,22.7,11.59,19,Non-Binary,Low,11.11,48.94
5,Sweet & Sour Pork,42.03,25.91,66,Female,High,16.12,38.35
6,Fried Rice,42.93,26.72,53,Female,Middle,16.21,37.76
7,Dim Sum,51.29,42.11,65,Male,High,9.18,17.9
8,Sweet & Sour Pork,32.79,11.86,37,Female,Low,20.93,63.83
9,Spring Rolls,16.4,18.04,59,Male,Low,-1.6400000000000006,-10.0
10,Sweet & Sour Pork,46.49,27.46,36,Female,Low,19.03,40.93
11,Hot Pot,14.9,26.11,30,Male,Middle,-11.209999999999999,-75.23
12,Hot Pot,66.53,18.87,60,Female,Middle,47.66,71.64
13,Spring Rolls,55.13,41.05,25,Female,High,14.080000000000005,25.54
14,Noodles,43.53,5.26,46,Non-Binary,Low,38.27,87.92
15,Hot Pot,14.85,16.84,53,Female,Middle,-1.9900000000000002,-13.4
16,Kung Pao Chicken,37.18,31.93,21,Female,Low,5.25,14.12
17,Noodles,17.51,12.85,34,Male,Low,4.660000000000002,26.61
18,Spring Rolls,68.75,41.75,68,Non-Binary,Middle,27.0,39.27
19,Dim Sum,33.84,13.61,53,Non-Binary,Low,20.230000000000004,59.78
20,Sweet & Sour Pork,48.75,5.34,54,Non-Binary,Low,43.41,89.05
21,Kung Pao Chicken,15.16,11.52,30,Non-Binary,Low,3.6400000000000006,24.01
22,Noodles,34.57,35.23,48,Male,Middle,-0.6599999999999966,-1.91
23,Hot Pot,18.16,43.03,67,Non-Binary,Low,-24.87,-136.95
24,Noodles,43.74,44.26,34,Non-Binary,Middle,-0.519999999999996,-1.19
25,Kung Pao Chicken,68.87,36.69,33,Female,Middle,32.18000000000001,46.73
26,Spring Rolls,35.05,25.95,61,Male,High,9.099999999999998,25.96
27,Spring Rolls,51.93,18.87,48,Non-Binary,Middle,33.06,63.66
28,Hot Pot,13.5,10.96,55,Non-Binary,High,2.539999999999999,18.81
29,Dim Sum,23.5,21.76,49,Non-Binary,High,1.7399999999999984,7.4
30,Fried Rice,15.78,23.28,55,Non-Binary,High,-7.500000000000002,-47.53
31,Spring Rolls,19.12,5.51,30,Male,Middle,13.610000000000001,71.18
32,Hot Pot,18.11,13.26,44,Female,High,4.85,26.78
33,Spring Rolls,48.01,43.43,19,Male,Low,4.579999999999998,9.54
34,Fried Rice,36.71,17.52,47,Non-Binary,Middle,19.19,52.27
