Date,Region,BBQ_Meals_Sold,Avg_Spend_£,Profit_Margin_pct,Age_Group,Income_Category
2025-01-01,Scotland,732,8.27,21.97,25-34,High
2025-01-02,Wales,784,3.78,26.0,35-44,Medium
2025-01-03,Wales,841,2.29,19.44,25-34,High
2025-01-04,England,470,5.2,24.82,45-54,Medium
2025-01-05,Scotland,1004,7.01,17.17,18-24,Low
2025-01-06,Scotland,1066,3.16,29.06,35-44,Medium
2025-01-07,Scotland,356,5.5,25.27,25-34,Medium
2025-01-08,England,1189,3.1,15.31,45-54,Low
2025-01-09,England,930,2.58,17.69,45-54,Low
2025-01-10,Northern Ireland,147,5.03,20.93,55+,Medium
2025-01-11,Northern Ireland,779,5.88,13.65,45-54,Low
2025-01-12,Scotland,313,4.65,12.47,18-24,Medium
2025-01-13,England,748,5.47,19.32,18-24,Medium
2025-01-14,England,862,3.28,17.07,45-54,High
2025-01-15,Wales,950,5.23,29.39,55+,High
2025-01-16,Wales,605,4.57,20.55,55+,Medium
2025-01-17,Scotland,1157,6.54,28.06,18-24,Low
2025-01-18,Northern Ireland,487,6.89,17.79,55+,Medium
2025-01-19,England,1088,5.01,27.89,55+,Medium
2025-01-20,Scotland,126,4.8,30.51,35-44,Medium
2025-01-21,Northern Ireland,676,2.0,24.23,55+,Medium
2025-01-22,England,962,2.41,26.78,35-44,Medium
2025-01-23,Northern Ireland,256,2.4,36.38,45-54,High
2025-01-24,Northern Ireland,1144,4.37,27.5,25-34,Low
2025-01-25,England,143,5.01,14.63,18-24,High
2025-01-26,Scotland,280,4.27,25.81,18-24,Medium
2025-01-27,England,411,4.12,21.73,55+,Low
2025-01-28,Wales,1134,3.88,24.59,45-54,High
2025-01-29,Scotland,633,4.93,26.02,45-54,Medium
2025-01-30,England,548,2.01,31.7,55+,High
2025-01-31,Northern Ireland,274,7.84,23.18,55+,High
2025-02-01,England,829,4.33,18.49,18-24,High
2025-02-02,England,841,6.57,23.55,25-34,Medium
2025-02-03,Scotland,341,5.23,25.49,45-54,Medium
2025-02-04,Wales,595,5.7,16.15,18-24,High
2025-02-05,Scotland,1115,6.13,22.67,55+,High
2025-02-06,England,231,3.9,25.59,25-34,Low
2025-02-07,Northern Ireland,664,6.43,25.42,45-54,High
2025-02-08,Northern Ireland,335,4.13,19.07,35-44,High
2025-02-09,Scotland,1056,5.03,21.9,45-54,Medium
2025-02-10,England,541,4.11,23.38,25-34,High
2025-02-11,Scotland,215,4.94,17.39,45-54,High
2025-02-12,Northern Ireland,118,6.25,22.2,18-24,Low
2025-02-13,Scotland,487,5.4,22.81,55+,Low
2025-02-14,Wales,908,9.04,28.37,18-24,Low
2025-02-15,Wales,234,6.23,15.34,18-24,High
2025-02-16,Scotland,1040,5.29,33.2,45-54,High
2025-02-17,England,639,4.53,23.12,45-54,Medium
2025-02-18,Scotland,100,4.53,29.93,25-34,High
2025-02-19,England,848,6.29,24.22,35-44,Low
2025-02-20,Northern Ireland,625,6.35,21.73,35-44,Medium
2025-02-21,Northern Ireland,780,3.34,23.47,35-44,Low
2025-02-22,England,914,6.63,23.7,35-44,High
2025-02-23,Scotland,271,8.5,19.18,25-34,Low
2025-02-24,Scotland,1120,3.4,30.48,55+,Medium
2025-02-25,Scotland,1157,9.76,11.95,18-24,Low
2025-02-26,England,845,5.01,13.17,55+,Medium
2025-02-27,Scotland,350,5.03,20.35,25-34,Low
2025-02-28,Northern Ireland,88,5.13,27.2,45-54,High
2025-03-01,Wales,771,4.87,17.05,25-34,High
2025-03-02,Northern Ireland,215,2.0,17.67,18-24,High
2025-03-03,England,1085,7.01,18.28,45-54,High
2025-03-04,Northern Ireland,160,7.11,28.46,25-34,Medium
2025-03-05,Northern Ireland,640,5.62,21.87,55+,Medium
2025-03-06,Northern Ireland,240,4.81,18.34,45-54,High
2025-03-07,Scotland,60,7.43,11.49,25-34,High
2025-03-08,Wales,600,2.81,28.85,45-54,High
2025-03-09,England,181,2.23,24.2,55+,Medium
2025-03-10,Scotland,218,6.76,21.25,45-54,Medium
2025-03-11,Scotland,609,5.87,22.45,18-24,Medium
2025-03-12,Wales,73,6.36,21.36,45-54,Medium
2025-03-13,Wales,472,3.06,27.41,25-34,Medium
2025-03-14,England,78,3.84,20.74,25-34,Medium
2025-03-15,Northern Ireland,916,7.71,19.2,18-24,Medium
2025-03-16,Northern Ireland,855,2.0,33.23,45-54,High
2025-03-17,Northern Ireland,107,2.0,16.76,35-44,High
2025-03-18,Scotland,260,6.19,25.23,18-24,Medium
2025-03-19,England,237,4.56,17.13,45-54,Low
2025-03-20,Northern Ireland,193,5.91,29.14,18-24,High
2025-03-21,Wales,716,3.9,18.8,25-34,Medium
2025-03-22,Northern Ireland,771,5.55,26.23,25-34,Low
2025-03-23,England,253,3.78,24.72,25-34,High
2025-03-24,Northern Ireland,392,6.17,17.83,35-44,High
2025-03-25,Wales,279,3.05,14.73,45-54,High
2025-03-26,England,423,3.45,25.81,35-44,Low
2025-03-27,Scotland,869,5.69,17.63,55+,Low
2025-03-28,England,690,7.29,24.92,18-24,High
2025-03-29,England,1182,4.97,15.14,18-24,High
2025-03-30,England,79,8.02,26.07,45-54,Low
2025-03-31,Scotland,78,3.88,30.63,35-44,Medium
2025-04-01,Wales,567,2.83,18.11,35-44,High
2025-04-02,Northern Ireland,226,5.35,36.07,25-34,Low
2025-04-03,England,452,3.91,26.19,45-54,Medium
2025-04-04,Wales,1047,4.66,12.93,18-24,Low
2025-04-05,Northern Ireland,1102,3.92,14.23,25-34,High
2025-04-06,Scotland,601,5.21,25.37,25-34,Medium
2025-04-07,Wales,837,5.94,18.12,45-54,Low
2025-04-08,England,1105,7.01,28.97,45-54,Low
2025-04-09,Wales,727,4.71,19.27,45-54,High
2025-04-10,England,1030,3.15,16.9,25-34,Low
2025-04-11,Northern Ireland,55,5.14,17.6,35-44,High
2025-04-12,Northern Ireland,917,3.75,26.44,55+,High
2025-04-13,England,370,8.14,20.06,55+,High
2025-04-14,England,379,4.3,22.13,35-44,High
2025-04-15,England,497,3.9,28.57,35-44,High
2025-04-16,Northern Ireland,421,11.02,12.31,55+,Low
2025-04-17,Northern Ireland,565,7.81,33.86,18-24,Low
2025-04-18,Wales,804,8.11,14.47,55+,Medium
2025-04-19,Scotland,279,5.92,7.73,55+,Low
2025-04-20,Scotland,101,8.4,22.34,45-54,Medium
2025-04-21,Northern Ireland,860,2.0,19.56,25-34,Low
2025-04-22,Scotland,315,6.73,24.17,25-34,Low
2025-04-23,Wales,418,4.81,24.73,45-54,Low
2025-04-24,Northern Ireland,528,5.07,22.95,55+,Medium
2025-04-25,England,753,6.58,26.24,35-44,High
2025-04-26,Scotland,650,5.47,20.32,35-44,High
2025-04-27,Northern Ireland,580,2.0,28.33,55+,High
2025-04-28,England,102,4.9,27.14,55+,Low
2025-04-29,Northern Ireland,1127,3.65,29.62,55+,Low
2025-04-30,Scotland,234,2.29,24.27,18-24,Medium
2025-05-01,Scotland,230,4.43,16.42,55+,Low
2025-05-02,Scotland,1079,2.4,26.08,45-54,High
2025-05-03,Northern Ireland,890,4.08,18.31,18-24,High
2025-05-04,Scotland,852,6.22,13.89,35-44,Low
2025-05-05,Scotland,166,2.0,16.48,45-54,High
2025-05-06,Wales,709,4.82,20.44,25-34,Low
2025-05-07,Scotland,119,2.87,24.45,18-24,High
2025-05-08,Wales,404,6.55,20.76,18-24,High
2025-05-09,Scotland,312,5.56,22.55,25-34,Medium
2025-05-10,Scotland,1048,3.83,23.56,45-54,Medium
2025-05-11,Northern Ireland,1126,5.04,17.04,35-44,Low
2025-05-12,Northern Ireland,540,6.8,20.08,25-34,Medium
2025-05-13,England,815,2.0,16.56,55+,Low
2025-05-14,Northern Ireland,605,6.17,18.73,25-34,Medium
2025-05-15,Scotland,154,8.18,28.38,25-34,High
2025-05-16,Wales,600,5.31,16.74,55+,Low
2025-05-17,Northern Ireland,1148,3.28,28.0,55+,Medium
2025-05-18,England,1056,4.5,21.1,18-24,High
2025-05-19,Wales,209,6.47,20.83,45-54,High
2025-05-20,England,214,4.78,22.08,25-34,Medium
2025-05-21,Wales,269,6.12,15.34,18-24,Low
2025-05-22,England,1022,3.0,30.1,18-24,High
2025-05-23,Wales,371,5.27,17.33,25-34,Low
2025-05-24,England,903,7.74,27.08,55+,High
2025-05-25,Wales,800,5.83,28.94,18-24,Medium
2025-05-26,Wales,525,5.99,25.58,25-34,Medium
2025-05-27,England,756,5.64,26.09,45-54,Low
2025-05-28,England,366,2.72,27.58,55+,High
2025-05-29,England,1135,2.51,22.76,55+,High
2025-05-30,Northern Ireland,342,4.78,23.45,45-54,Medium
2025-05-31,England,157,5.03,29.69,55+,High
2025-06-01,England,74,7.58,17.43,45-54,High
2025-06-02,Scotland,50,2.0,20.9,18-24,Medium
2025-06-03,Wales,579,2.61,22.3,45-54,High
2025-06-04,Northern Ireland,1006,6.68,32.62,45-54,Medium
2025-06-05,Scotland,549,3.51,15.76,55+,Low
2025-06-06,Scotland,258,6.29,21.35,25-34,Medium
2025-06-07,England,228,5.07,19.54,18-24,High
2025-06-08,Northern Ireland,505,2.39,22.45,25-34,Medium
2025-06-09,Wales,451,2.0,22.96,25-34,High
2025-06-10,Scotland,1090,2.0,29.0,18-24,Medium
2025-06-11,Scotland,602,5.84,23.51,55+,High
2025-06-12,England,585,2.98,22.29,45-54,Medium
2025-06-13,Wales,507,2.37,27.48,35-44,Medium
2025-06-14,Northern Ireland,851,6.61,19.59,18-24,High
2025-06-15,Wales,1055,8.91,23.69,18-24,Medium
2025-06-16,England,634,2.37,21.6,25-34,Low
2025-06-17,Wales,1096,3.65,28.03,18-24,Medium
2025-06-18,Scotland,68,4.03,18.66,35-44,High
2025-06-19,Northern Ireland,577,3.59,26.78,18-24,Low
2025-06-20,Northern Ireland,905,5.35,20.01,45-54,Low
2025-06-21,Wales,1181,4.86,32.56,45-54,Low
2025-06-22,Scotland,72,5.58,22.2,18-24,Low
2025-06-23,Northern Ireland,1192,4.52,17.23,35-44,Low
2025-06-24,England,808,2.0,16.74,25-34,Medium
2025-06-25,Northern Ireland,571,7.5,29.41,55+,High
2025-06-26,England,589,3.93,31.5,18-24,Medium
2025-06-27,England,1047,2.68,26.41,18-24,Low
2025-06-28,England,1045,7.44,10.85,35-44,Medium
2025-06-29,Wales,824,5.6,23.66,35-44,Medium
2025-06-30,Northern Ireland,1037,7.75,21.27,18-24,Medium
2025-07-01,Northern Ireland,487,5.79,15.43,35-44,Low
2025-07-02,Scotland,958,5.63,30.2,18-24,Low
2025-07-03,Northern Ireland,873,2.01,15.95,55+,Medium
2025-07-04,England,1119,7.73,27.13,35-44,High
2025-07-05,Scotland,329,4.49,14.42,25-34,Low
2025-07-06,Wales,1054,6.1,19.01,55+,Low
2025-07-07,Wales,482,2.0,17.64,18-24,Low
